run,maxOpenCanopiesBelow1000Ft,maxOpenCanopiesBelow500Ft,minHorizontalSeparationFt,fullyOpenAltitudeMinFt,fullyOpenAltitudeMaxFt,fullyOpenAltitudeSpreadFt,canopyCongestionScore,canopyCollisionExposurePairSeconds,estimatedCanopyCollisionRiskPer10k
1,7,5,0.06915201725856363,2609.2932463566735,3112.9279502403733,503.6347038836998,51.1,52.81,1.06
2,8,7,0.20874817497526194,2834.2306498619014,3189.6693494671326,355.43869960523125,74.15,217.99,4.36
3,8,8,0.0432057745661175,2697.400416996908,3138.6513737806204,441.25095678371235,52.8,142,2.84
4,6,4,0.2649766069636543,2733.6664126205083,3099.668953944283,366.00254132377495,16.75,41.97,0.84
5,7,6,0.00650854375678806,2701.109188008664,3160.7640985421313,459.65491053346705,32.55,98.34,1.97
6,6,4,0.8413690818436516,2816.5613555956284,3111.409632271518,294.8482766758898,0,15.08,0.3
7,7,5,0.02794557763364409,2747.3353018581024,3056.085127176118,308.7498253180156,7.65,58.94,1.18
8,6,5,0.0680608332987164,2765.1120195403964,3081.934247971091,316.8222284306944,8.25,18.13,0.36
9,8,5,0.5009335226219341,2707.0943403023766,3240.8612737870594,533.7669334846828,33.4,84.4,1.69
10,7,4,0.12163272587880235,2741.8890234499527,3279.9475587265188,538.0585352765661,30.05,102.22,2.04
11,8,5,0.0767601200378021,2517.910808893626,3136.839365078149,618.9285561845231,35.25,18.88,0.38
12,5,4,0.03218881052348246,2780.15508729185,3321.9602658418717,541.8051785500215,41.05,80.99,1.62
13,8,6,0.009686534663977862,2779.7183363313047,3075.3639532059146,295.6456168746099,57.5,54.21,1.08
14,7,5,0.6450998105083898,2606.14041999652,3156.603139108073,550.4627191115528,4.85,51.48,1.03
15,6,5,0.8115702317091558,2768.4525039087594,3050.0971531107684,281.6446492020091,10.25,35.05,0.7
16,6,5,0.002040536525424587,2646.8802736993857,3274.9698596454814,628.0895859460957,36.95,61.13,1.22
17,6,4,0.4938033041515251,2691.480980663471,3015.4971241446533,324.0161434811821,5.55,24.64,0.49
18,9,7,0.09607690154562532,2678.1028908364456,3101.1390083374095,423.0361175009639,62.95,113.7,2.27
19,7,4,0.3531105806419077,2746.95502599485,3136.5886043699084,389.6335783750583,0,0,0
20,8,4,0.07991723064974966,2548.641810253036,3107.317232299926,558.6754220468902,21.2,0,0
21,6,5,0.10093443907868638,2824.041871762437,3098.95982249278,274.9179507303429,51.4,56.78,1.14
22,7,5,0.054771559592045896,2889.9628392055147,3308.959184951225,418.9963457457102,51.2,55.36,1.11
